TITLE     = "Lower surface points for converging-diverging channel"
FROM https://turbmodels.larc.nasa.gov/Other_DNS_Data/Conv-div-channel/surface_points.dat
VARIABLES = "X","Y"
 0.000000000E+00 0.000000000E+00
 8.179353550E-03 0.000000000E+00
 1.635867916E-02 0.000000000E+00
 2.453809045E-02 0.000000000E+00
 3.271736950E-02 0.000000000E+00
 4.089676961E-02 0.000000000E+00
 4.907618091E-02 0.000000000E+00
 5.725545064E-02 0.000000000E+00
 6.543485820E-02 0.000000000E+00
 7.361414284E-02 0.000000000E+00
 8.179354668E-02 0.000000000E+00
 8.997295052E-02 0.000000000E+00
 9.815222770E-02 0.000000000E+00
 1.063316017E-01 0.000000000E+00
 1.145109013E-01 0.000000000E+00
 1.226902977E-01 0.000000000E+00
 1.308691949E-01 0.000000000E+00
 1.390486062E-01 0.000000000E+00
 1.472280025E-01 0.000000000E+00
 1.554073989E-01 0.000000000E+00
 1.635867953E-01 0.000000000E+00
 1.717662066E-01 0.000000000E+00
 1.799456030E-01 0.000000000E+00
 1.881249994E-01 0.000000000E+00
 1.963045001E-01 0.000000000E+00
 2.044838965E-01 0.000000000E+00
 2.126632929E-01 0.000000000E+00
 2.208427042E-01 0.000000000E+00
 2.290221006E-01 0.000000000E+00
 2.372014970E-01 0.000000000E+00
 2.453808933E-01 0.000000000E+00
 2.535603046E-01 0.000000000E+00
 2.617397010E-01 0.000000000E+00
 2.699190974E-01 0.000000000E+00
 2.780984938E-01 0.000000000E+00
 2.862778902E-01 0.000000000E+00
 2.944572866E-01 0.000000000E+00
 3.026367128E-01 0.000000000E+00
 3.108161092E-01 0.000000000E+00
 3.189955056E-01 0.000000000E+00
 3.271749020E-01 0.000000000E+00
 3.353531063E-01 0.000000000E+00
 3.435325027E-01 0.000000000E+00
 3.517118990E-01 0.000000000E+00
 3.598912954E-01 0.000000000E+00
 3.680706918E-01 0.000000000E+00
 3.762500882E-01 0.000000000E+00
 3.844295144E-01 0.000000000E+00
 3.926089108E-01 0.000000000E+00
 4.007883072E-01 0.000000000E+00
 4.089677036E-01 0.000000000E+00
 4.171471000E-01 0.000000000E+00
 4.253264964E-01 0.000000000E+00
 4.335058928E-01 0.000000000E+00
 4.416852891E-01 0.000000000E+00
 4.498646855E-01 0.000000000E+00
 4.580441117E-01 0.000000000E+00
 4.662235975E-01 0.000000000E+00
 4.744029939E-01 0.000000000E+00
 4.825823903E-01 0.000000000E+00
 4.907617867E-01 0.000000000E+00
 4.989412129E-01 0.000000000E+00
 5.071204901E-01 0.000000000E+00
 5.152999759E-01 0.000000000E+00
 5.234794021E-01 0.000000000E+00
 5.316588283E-01 0.000000000E+00
 5.398381948E-01 0.000000000E+00
 5.480176210E-01 0.000000000E+00
 5.561969876E-01 0.000000000E+00
 5.643764138E-01 0.000000000E+00
 5.725545287E-01 0.000000000E+00
 5.807340145E-01 0.000000000E+00
 5.889133811E-01 0.000000000E+00
 5.970926881E-01 0.000000000E+00
 6.052721739E-01 0.000000000E+00
 6.134516001E-01 0.000000000E+00
 6.216310263E-01 0.000000000E+00
 6.298103929E-01 0.000000000E+00
 6.379898190E-01 0.000000000E+00
 6.461691856E-01 0.000000000E+00
 6.543486118E-01 0.000000000E+00
 6.625279784E-01 0.000000000E+00
 6.707074046E-01 0.000000000E+00
 6.788867712E-01 0.000000000E+00
 6.870661974E-01 0.000000000E+00
 6.952456236E-01 0.000000000E+00
 7.034249902E-01 0.000000000E+00
 7.116044164E-01 0.000000000E+00
 7.197837830E-01 0.000000000E+00
 7.279620171E-01 0.000000000E+00
 7.361413836E-01 0.000000000E+00
 7.443208098E-01 0.000000000E+00
 7.525001764E-01 0.000000000E+00
 7.606796026E-01 0.000000000E+00
 7.688590288E-01 0.000000000E+00
 7.770383954E-01 0.000000000E+00
 7.852178216E-01 0.000000000E+00
 7.933971882E-01 0.000000000E+00
 8.015766144E-01 0.000000000E+00
 8.097559810E-01 0.000000000E+00
 8.179355264E-01 0.000000000E+00
 8.261147738E-01 0.000000000E+00
 8.342943192E-01 0.000000000E+00
 8.424736261E-01 0.000000000E+00
 8.506531119E-01 0.000000000E+00
 8.588324785E-01 0.000000000E+00
 8.670117855E-01 0.000000000E+00
 8.751912713E-01 0.000000000E+00
 8.833693862E-01 0.000000000E+00
 8.915488124E-01 0.000000000E+00
 8.997281790E-01 0.000000000E+00
 9.079077244E-01 0.000000000E+00
 9.160869718E-01 0.000000000E+00
 9.242665172E-01 0.000000000E+00
 9.324458241E-01 0.000000000E+00
 9.406253099E-01 0.000000000E+00
 9.488046765E-01 0.000000000E+00
 9.569839835E-01 0.000000000E+00
 9.651635289E-01 0.000000000E+00
 9.733428955E-01 0.000000000E+00
 9.815223217E-01 0.000000000E+00
 9.897016883E-01 0.000000000E+00
 9.978811145E-01 0.000000000E+00
 1.006060004E+00 0.000000000E+00
 1.014240026E+00 0.000000000E+00
 1.022418976E+00 0.000000000E+00
 1.030598998E+00 0.000000000E+00
 1.038777947E+00 0.000000000E+00
 1.046955943E+00 0.000000000E+00
 1.055135965E+00 0.000000000E+00
 1.063315034E+00 0.000000000E+00
 1.071493983E+00 0.000000000E+00
 1.079674006E+00 0.000000000E+00
 1.087852955E+00 0.000000000E+00
 1.096032977E+00 0.000000000E+00
 1.104212046E+00 0.000000000E+00
 1.112390995E+00 0.000000000E+00
 1.120571017E+00 0.000000000E+00
 1.128749967E+00 0.000000000E+00
 1.136929989E+00 0.000000000E+00
 1.145109057E+00 0.000000000E+00
 1.153288007E+00 0.000000000E+00
 1.161468029E+00 0.000000000E+00
 1.169646978E+00 0.000000000E+00
 1.177827001E+00 0.000000000E+00
 1.186005950E+00 0.000000000E+00
 1.194185019E+00 0.000000000E+00
 1.202365041E+00 0.000000000E+00
 1.210543036E+00 0.000000000E+00
 1.218721986E+00 0.000000000E+00
 1.226902008E+00 0.000000000E+00
 1.235080957E+00 0.000000000E+00
 1.243260980E+00 0.000000000E+00
 1.251440048E+00 0.000000000E+00
 1.259621024E+00 0.000000000E+00
 1.267801046E+00 0.000000000E+00
 1.275982022E+00 0.000000000E+00
 1.284162998E+00 0.000000000E+00
 1.292330980E+00 0.000000000E+00
 1.300511003E+00 0.000000000E+00
 1.308691978E+00 0.000000000E+00
 1.316872954E+00 0.000000000E+00
 1.325052977E+00 0.000000000E+00
 1.333233953E+00 0.000000000E+00
 1.341415048E+00 0.000000000E+00
 1.349596024E+00 0.000000000E+00
 1.357776046E+00 0.000000000E+00
 1.365957022E+00 0.000000000E+00
 1.374125004E+00 0.000000000E+00
 1.382305980E+00 0.000000000E+00
 1.390486002E+00 0.000000000E+00
 1.398666978E+00 0.000000000E+00
 1.406847954E+00 0.000000000E+00
 1.415027976E+00 0.000000000E+00
 1.423208952E+00 0.000000000E+00
 1.431390047E+00 0.000000000E+00
 1.439569950E+00 0.000000000E+00
 1.447738051E+00 0.000000000E+00
 1.455919027E+00 0.000000000E+00
 1.464100003E+00 0.000000000E+00
 1.472280025E+00 0.000000000E+00
 1.480461001E+00 0.000000000E+00
 1.488641977E+00 0.000000000E+00
 1.496822000E+00 0.000000000E+00
 1.505002975E+00 0.000000000E+00
 1.513183951E+00 0.000000000E+00
 1.521363974E+00 0.000000000E+00
 1.529531956E+00 0.000000000E+00
 1.537713051E+00 0.000000000E+00
 1.545894027E+00 0.000000000E+00
 1.554074049E+00 0.000000000E+00
 1.562255025E+00 0.000000000E+00
 1.570436001E+00 0.000000000E+00
 1.578616023E+00 0.000000000E+00
 1.586796999E+00 0.000000000E+00
 1.594977975E+00 0.000000000E+00
 1.603157997E+00 0.000000000E+00
 1.611325979E+00 0.000000000E+00
 1.619506955E+00 0.000000000E+00
 1.627688050E+00 0.000000000E+00
 1.635867953E+00 0.000000000E+00
 1.644049048E+00 0.000000000E+00
 1.652230024E+00 0.000000000E+00
 1.660410047E+00 0.000000000E+00
 1.668591022E+00 0.000000000E+00
 1.676771998E+00 0.000000000E+00
 1.684939981E+00 0.000000000E+00
 1.693120003E+00 0.000000000E+00
 1.701300979E+00 0.000000000E+00
 1.709481955E+00 0.000000000E+00
 1.717661977E+00 0.000000000E+00
 1.725842953E+00 0.000000000E+00
 1.734024048E+00 0.000000000E+00
 1.742203951E+00 0.000000000E+00
 1.750385046E+00 0.000000000E+00
 1.758553028E+00 0.000000000E+00
 1.766734004E+00 0.000000000E+00
 1.774914980E+00 0.000000000E+00
 1.783095002E+00 0.000000000E+00
 1.791275978E+00 0.000000000E+00
 1.799456000E+00 0.000000000E+00
 1.807636976E+00 0.000000000E+00
 1.815817952E+00 0.000000000E+00
 1.823997974E+00 0.000000000E+00
 1.832178950E+00 0.000000000E+00
 1.840347052E+00 2.220446049E-16
 1.848528028E+00 -8.881784197E-16
 1.856709003E+00 -7.549517414E-15
 1.864889026E+00 4.440892099E-14
 1.873070002E+00 3.956835131E-13
 1.881250978E+00 -2.321808978E-12
 1.889431000E+00 -2.045241927E-11
 1.897611976E+00 1.210938017E-10
 1.905791998E+00 1.056985055E-09
 1.913961053E+00 -6.255274076E-09
 1.922140956E+00 2.533278973E-07
 1.930322051E+00 1.294652975E-06
 1.938503027E+00 3.264754923E-06
 1.946683049E+00 6.304856925E-06
 1.954864025E+00 1.055359007E-05
 1.963045001E+00 1.614967914E-05
 1.971225023E+00 2.323187073E-05
 1.979405999E+00 3.193895827E-05
 1.987586021E+00 4.240986891E-05
 1.995754957E+00 5.477161903E-05
 2.003935099E+00 6.922170724E-05
 2.012115955E+00 8.590309881E-05
 2.020297050E+00 1.049763014E-04
 2.028476954E+00 1.266017061E-04
 2.036658049E+00 1.509400026E-04
 2.044838905E+00 1.781515020E-04
 2.053019047E+00 2.083966974E-04
 2.061199903E+00 2.418359072E-04
 2.069380999E+00 2.786277037E-04
 2.077548981E+00 3.188654955E-04
 2.085728884E+00 3.628309933E-04
 2.093909979E+00 4.106232082E-04
 2.102091074E+00 4.624000867E-04
 2.110270977E+00 5.183200119E-04
 2.118452072E+00 5.785409012E-04
 2.126632929E+00 6.432210212E-04
 2.134813070E+00 7.125203265E-04
 2.142993927E+00 7.866013912E-04
 2.151175022E+00 8.656270220E-04
 2.159354925E+00 9.497599094E-04
 2.167522907E+00 1.039020950E-03
 2.175704002E+00 1.133847982E-03
 2.183885098E+00 1.234270050E-03
 2.192065001E+00 1.340450021E-03
 2.200246096E+00 1.452547032E-03
 2.208426952E+00 1.570702996E-03
 2.216607094E+00 1.695057959E-03
 2.224787951E+00 1.825748011E-03
 2.232969046E+00 1.962912036E-03
 2.241148949E+00 2.106687985E-03
 2.249316931E+00 2.256975975E-03
 2.257498026E+00 2.414378105E-03
 2.265678883E+00 2.578804968E-03
 2.273859978E+00 2.750416985E-03
 2.282040119E+00 2.929392038E-03
 2.290220976E+00 3.115911037E-03
 2.298401117E+00 3.310154891E-03
 2.306581974E+00 3.512304975E-03
 2.314763069E+00 3.722541034E-03
 2.322942972E+00 3.941044211E-03
 2.331124067E+00 4.167994019E-03
 2.339292049E+00 4.403193016E-03
 2.347472906E+00 4.647489171E-03
 2.355654001E+00 4.900640808E-03
 2.363833904E+00 5.162762944E-03
 2.372014999E+00 5.433970131E-03
 2.380194902E+00 5.714375060E-03
 2.388375998E+00 6.004091818E-03
 2.396557093E+00 6.303235888E-03
 2.404736996E+00 6.611924153E-03
 2.412918091E+00 6.930322852E-03
 2.421086073E+00 7.258138154E-03
 2.429266930E+00 7.596595213E-03
 2.437448025E+00 7.945415564E-03
 2.445627928E+00 8.304820396E-03
 2.453809023E+00 8.675023913E-03
 2.461988926E+00 9.056246839E-03
 2.470170021E+00 9.448708035E-03
 2.478351116E+00 9.852585383E-03
 2.486531019E+00 1.026794035E-02
 2.494712114E+00 1.069478970E-02
 2.502892971E+00 1.113316976E-02
 2.511060953E+00 1.158240996E-02
 2.519242048E+00 1.204392035E-02
 2.527421951E+00 1.251703966E-02
 2.535603046E+00 1.300180983E-02
 2.543782949E+00 1.349825040E-02
 2.551964045E+00 1.400652993E-02
 2.560144901E+00 1.452689990E-02
 2.568325996E+00 1.505959034E-02
 2.576505899E+00 1.560486015E-02
 2.584686995E+00 1.616293937E-02
 2.592854977E+00 1.673321053E-02
 2.601036072E+00 1.731766015E-02
 2.609215975E+00 1.791567914E-02
 2.617397070E+00 1.852747053E-02
 2.625577927E+00 1.915315911E-02
 2.633758068E+00 1.979286969E-02
 2.641938925E+00 2.044669911E-02
 2.650120020E+00 2.111475915E-02
 2.658299923E+00 2.179717086E-02
 2.666481018E+00 2.249404043E-02
 2.674662113E+00 2.320547961E-02
 2.682830095E+00 2.393046953E-02
 2.691009998E+00 2.467134967E-02
 2.699191093E+00 2.542709932E-02
 2.707371950E+00 2.619783953E-02
 2.715552092E+00 2.698365040E-02
 2.723732948E+00 2.778463066E-02
 2.731914043E+00 2.860086970E-02
 2.740093946E+00 2.943249047E-02
 2.748275042E+00 3.027956933E-02
 2.756455898E+00 3.114219941E-02
 2.764624119E+00 3.201907128E-02
 2.772804022E+00 3.291295096E-02
 2.780985117E+00 3.382255882E-02
 2.789165974E+00 3.474793956E-02
 2.797346115E+00 3.568917140E-02
 2.805526972E+00 3.664629906E-02
 2.813708067E+00 3.761937097E-02
 2.821887970E+00 3.860849887E-02
 2.830069065E+00 3.961392120E-02
 2.838249922E+00 4.063595086E-02
 2.846417904E+00 4.167329893E-02
 2.854598999E+00 4.272948951E-02
 2.862778902E+00 4.380324110E-02
 2.870959997E+00 4.489488155E-02
 2.879139900E+00 4.600472003E-02
 2.887320995E+00 4.713308066E-02
 2.895502090E+00 4.828004912E-02
 2.903681993E+00 4.944548011E-02
 2.911863089E+00 5.062919855E-02
 2.920043945E+00 5.183102936E-02
 2.928224087E+00 5.305080861E-02
 2.936393023E+00 5.428645015E-02
 2.944572926E+00 5.554157123E-02
 2.952754021E+00 5.681413040E-02
 2.960933924E+00 5.810404941E-02
 2.969115019E+00 5.941163003E-02
 2.977296114E+00 6.073724106E-02
 2.985476017E+00 6.208122894E-02
 2.993657112E+00 6.344397366E-02
 3.001837969E+00 6.482583284E-02
 3.010018110E+00 6.622718275E-02
 3.018187046E+00 6.764618307E-02
 3.026366949E+00 6.908752769E-02
 3.034548044E+00 7.054915279E-02
 3.042727947E+00 7.203093916E-02
 3.050909042E+00 7.353281230E-02
 3.059089899E+00 7.505468279E-02
 3.067270994E+00 7.659644634E-02
 3.075450897E+00 7.815804332E-02
 3.083631992E+00 7.973934710E-02
 3.091811895E+00 8.134028316E-02
 3.099992990E+00 8.296082914E-02
 3.108160973E+00 8.459849656E-02
 3.116342068E+00 8.625839651E-02
 3.124521971E+00 8.793810755E-02
 3.132703066E+00 8.963768184E-02
 3.140883923E+00 9.135718644E-02
 3.149065018E+00 9.309668839E-02
 3.157244921E+00 9.485626221E-02
 3.165426016E+00 9.663598239E-02
 3.173605919E+00 9.843599051E-02
 3.181787014E+00 1.002563983E-01
 3.189954996E+00 1.020945981E-01
 3.198136091E+00 1.039562002E-01
 3.206315994E+00 1.058387980E-01
 3.214497089E+00 1.077423021E-01
 3.222677946E+00 1.096668988E-01
 3.230859041E+00 1.116129011E-01
 3.239038944E+00 1.135801971E-01
 3.247220039E+00 1.155690029E-01
 3.255400896E+00 1.175794974E-01
 3.263581038E+00 1.196117029E-01
 3.271761894E+00 1.216657981E-01
 3.279930115E+00 1.237386018E-01
 3.288110971E+00 1.258367002E-01
 3.296291113E+00 1.279570013E-01
 3.304471970E+00 1.300994009E-01
 3.312653065E+00 1.322634965E-01
 3.320832968E+00 1.344490051E-01
 3.329014063E+00 1.366555989E-01
 3.337194920E+00 1.388829052E-01
 3.345375061E+00 1.411308050E-01
 3.353555918E+00 1.433987021E-01
 3.361723900E+00 1.456829011E-01
 3.369904995E+00 1.479904950E-01
 3.378084898E+00 1.503185034E-01
 3.386265993E+00 1.526674926E-01
 3.394447088E+00 1.550381035E-01
 3.402626991E+00 1.574307978E-01
 3.410808086E+00 1.598462015E-01
 3.418988943E+00 1.622848958E-01
 3.427169085E+00 1.647475064E-01
 3.435349941E+00 1.672340930E-01
 3.443531036E+00 1.697441936E-01
 3.451699018E+00 1.722732931E-01
 3.459878922E+00 1.748284996E-01
 3.468060017E+00 1.774052978E-01
 3.476241112E+00 1.800030023E-01
 3.484421015E+00 1.826210022E-01
 3.492602110E+00 1.852587014E-01
 3.500782967E+00 1.879156977E-01
 3.508963108E+00 1.905921996E-01
 3.517143965E+00 1.932888031E-01
 3.525325060E+00 1.960058063E-01
 3.533493042E+00 1.987394989E-01
 3.541672945E+00 2.014987022E-01
 3.549854040E+00 2.042794973E-01
 3.558034897E+00 2.070824057E-01
 3.566215992E+00 2.099078000E-01
 3.574395895E+00 2.127556056E-01
 3.582576990E+00 2.156258970E-01
 3.590756893E+00 2.185184956E-01
 3.598937988E+00 2.214334011E-01
 3.607119083E+00 2.243705988E-01
 3.615287066E+00 2.273253947E-01
 3.623466969E+00 2.303071022E-01
 3.631648064E+00 2.333108038E-01
 3.639828920E+00 2.363360971E-01
 3.648010015E+00 2.393822074E-01
 3.656189919E+00 2.424484044E-01
 3.664371014E+00 2.455337048E-01
 3.672550917E+00 2.486376017E-01
 3.680732012E+00 2.517591119E-01
 3.688913107E+00 2.548975050E-01
 3.697093010E+00 2.580522001E-01
 3.705260992E+00 2.612183094E-01
 3.713442087E+00 2.644053102E-01
 3.721622944E+00 2.676086128E-01
 3.729804039E+00 2.708278894E-01
 3.737983942E+00 2.740632892E-01
 3.746165037E+00 2.773148119E-01
 3.754344940E+00 2.805821896E-01
 3.762526035E+00 2.838656902E-01
 3.770706892E+00 2.871648073E-01
 3.778887987E+00 2.904792130E-01
 3.787055016E+00 2.938033938E-01
 3.795236111E+00 2.971470952E-01
 3.803416967E+00 3.005048931E-01
 3.811598063E+00 3.038764000E-01
 3.819777966E+00 3.072611988E-01
 3.827959061E+00 3.106588125E-01
 3.836138964E+00 3.140684068E-01
 3.844320059E+00 3.174893856E-01
 3.852500916E+00 3.209210932E-01
 3.860682011E+00 3.243626058E-01
 3.868861914E+00 3.278133869E-01
 3.877029896E+00 3.312672079E-01
 3.885210991E+00 3.347341120E-01
 3.893392086E+00 3.382079005E-01
 3.901571989E+00 3.416880965E-01
 3.909753084E+00 3.451736867E-01
 3.917932987E+00 3.486641049E-01
 3.926114082E+00 3.521584868E-01
 3.934294939E+00 3.556562960E-01
 3.942476034E+00 3.591566086E-01
 3.950655937E+00 3.626587093E-01
 3.958823919E+00 3.661569059E-01
 3.967005014E+00 3.696615100E-01
 3.975186110E+00 3.731670976E-01
 3.983366013E+00 3.766734004E-01
 3.991547108E+00 3.801800907E-01
 3.999727964E+00 3.836869895E-01
 4.007907867E+00 3.871938884E-01
 4.016088963E+00 3.907003999E-01
 4.024270058E+00 3.942053914E-01
 4.032450199E+00 3.977077901E-01
 4.040617943E+00 4.012008905E-01
 4.048799038E+00 4.046944082E-01
 4.056980133E+00 4.081816971E-01
 4.065159798E+00 4.116615951E-01
 4.073340893E+00 4.151327908E-01
 4.081521988E+00 4.185943902E-01
 4.089702129E+00 4.220460057E-01
 4.097883224E+00 4.254877865E-01
 4.106063843E+00 4.289194942E-01
 4.114232063E+00 4.323362112E-01
 4.122412205E+00 4.357481897E-01
 4.130592823E+00 4.391502142E-01
 4.138773918E+00 4.425424933E-01
 4.146955013E+00 4.459244907E-01
 4.155135155E+00 4.492954016E-01
 4.163315773E+00 4.526542127E-01
 4.171495914E+00 4.560000002E-01
 4.179665089E+00 4.593265951E-01
 4.187845230E+00 4.626432955E-01
 4.196025848E+00 4.659439921E-01
 4.204205990E+00 4.692277908E-01
 4.212387085E+00 4.724937975E-01
 4.220568180E+00 4.757417142E-01
 4.228735924E+00 4.789660871E-01
 4.236917019E+00 4.821763039E-01
 4.245071888E+00 4.853571057E-01
 4.253228188E+00 4.885180891E-01
 4.261383057E+00 4.916586876E-01
 4.269526005E+00 4.947735965E-01
 4.277657032E+00 4.978624880E-01
 4.285774231E+00 5.009254217E-01
 4.293879986E+00 5.039619803E-01
 4.301971912E+00 5.069720745E-01
 4.310039997E+00 5.099511147E-01
 4.318108082E+00 5.129079223E-01
 4.326137066E+00 5.158287287E-01
 4.334167004E+00 5.187270045E-01
 4.342172146E+00 5.215935111E-01
 4.350152016E+00 5.244277716E-01
 4.358106136E+00 5.272291899E-01
 4.366034985E+00 5.299975276E-01
 4.373951912E+00 5.327365994E-01
 4.381844044E+00 5.354415774E-01
 4.389698029E+00 5.381079912E-01
 4.397539139E+00 5.407438278E-01
 4.405343056E+00 5.433403254E-01
 4.413121223E+00 5.459017754E-01
 4.420875072E+00 5.484285951E-01
 4.428589821E+00 5.509166718E-01
 4.436281204E+00 5.533702970E-01
 4.443945885E+00 5.557895899E-01
 4.451573849E+00 5.581709743E-01
 4.459164143E+00 5.605146289E-01
 4.466729164E+00 5.628246069E-01
 4.474268913E+00 5.651012063E-01
 4.481758118E+00 5.673372149E-01
 4.489234924E+00 5.695440769E-01
 4.496662140E+00 5.717111826E-01
 4.504051208E+00 5.738425851E-01
 4.511415005E+00 5.759422779E-01
 4.518741131E+00 5.780069232E-01
 4.526041985E+00 5.800402164E-01
 4.533292770E+00 5.820357800E-01
 4.540517807E+00 5.840005875E-01
 4.547706127E+00 5.859311819E-01
 4.554855824E+00 5.878279209E-01
 4.561968803E+00 5.896906257E-01
 4.569044113E+00 5.915194750E-01
 4.576080799E+00 5.933148861E-01
 4.583093166E+00 5.950797796E-01
 4.590054989E+00 5.968081951E-01
 4.596991062E+00 5.985063910E-01
 4.603889942E+00 6.001716256E-01
 4.610752106E+00 6.018040776E-01
 4.617575169E+00 6.034045219E-01
 4.624361038E+00 6.049731970E-01
 4.631121159E+00 6.065136194E-01
 4.637832165E+00 6.080204844E-01
 4.644516945E+00 6.094998717E-01
 4.651165009E+00 6.109495759E-01
 4.657773972E+00 6.123697758E-01
 4.664359093E+00 6.137638092E-01
 4.670894146E+00 6.151267290E-01
 4.677402973E+00 6.164640188E-01
 4.683875084E+00 6.177737117E-01
 4.690309048E+00 6.190562248E-01
 4.696716785E+00 6.203141809E-01
 4.703089237E+00 6.215456128E-01
 4.709422112E+00 6.227509975E-01
 4.715717793E+00 6.239305735E-01
 4.721988201E+00 6.250872016E-01
 4.728233814E+00 6.262211204E-01
 4.734428883E+00 6.273279786E-01
 4.740599155E+00 6.284129024E-01
 4.746744156E+00 6.294760704E-01
 4.752851009E+00 6.305155754E-01
 4.758921146E+00 6.315318942E-01
 4.764965057E+00 6.325274110E-01
 4.770971775E+00 6.335002780E-01
 4.776953220E+00 6.344531178E-01
 4.782909870E+00 6.353858709E-01
 4.788827896E+00 6.362972260E-01
 4.794710159E+00 6.371871233E-01
 4.800578117E+00 6.380599141E-01
 4.806408882E+00 6.389120817E-01
 4.812201977E+00 6.397439837E-01
 4.817969799E+00 6.405578256E-01
 4.823711872E+00 6.413537860E-01
 4.829430103E+00 6.421322823E-01
 4.835110188E+00 6.428918839E-01
 4.840776920E+00 6.436364055E-01
